Date,PX_LAST
01/05/2026,75.4
30/04/2026,75.08
29/04/2026,75.96
28/04/2026,70.5
27/04/2026,73.11
24/04/2026,75.83
23/04/2026,78.67
22/04/2026,76.77
21/04/2026,85.57
20/04/2026,73.79
17/04/2026,69.01
16/04/2026,73.04
15/04/2026,72.23
14/04/2026,75.35
13/04/2026,80.55
10/04/2026,78.01
09/04/2026,81.74
08/04/2026,83.91
07/04/2026,98.79
06/04/2026,96.14
02/04/2026,93.14
01/04/2026,91.8
31/03/2026,89.39
30/03/2026,95.84
27/03/2026,96.64
26/03/2026,92.37
25/03/2026,90.16
24/03/2026,89.34
23/03/2026,89.78
20/03/2026,91.85
19/03/2026,92.68
18/03/2026,97.28
17/03/2026,95.92
16/03/2026,101.97
13/03/2026,119.02
12/03/2026,120.22
11/03/2026,120.91
10/03/2026,108.19
09/03/2026,100.53
06/03/2026,103.6
05/03/2026,83.83
04/03/2026,75.2
03/03/2026,73.99
02/03/2026,68.9
27/02/2026,64.68
26/02/2026,59.8
25/02/2026,58.97
24/02/2026,58.82
23/02/2026,59.05
20/02/2026,56.12
19/02/2026,56.73
18/02/2026,51.49
17/02/2026,42.54
13/02/2026,42.18
12/02/2026,42
11/02/2026,44.33
10/02/2026,48.02
09/02/2026,50.79
06/02/2026,53.18
05/02/2026,54.97
04/02/2026,55.13
03/02/2026,52.34
02/02/2026,48.7
30/01/2026,55.91
29/01/2026,55.37
28/01/2026,50.39
27/01/2026,49.61
26/01/2026,47.78
23/01/2026,47.64
22/01/2026,44.7
21/01/2026,45.45
20/01/2026,42.78
16/01/2026,43.19
15/01/2026,42.06
14/01/2026,44.19
13/01/2026,40.43
12/01/2026,38.85
09/01/2026,36.8
08/01/2026,35.8
07/01/2026,32.98
06/01/2026,30.06
05/01/2026,29.41
02/01/2026,28.4
31/12/2025,30.17
30/12/2025,30.76
29/12/2025,32.16
26/12/2025,32.22
24/12/2025,31.71
23/12/2025,33.02
22/12/2025,33.03
19/12/2025,33.62
18/12/2025,33.6
17/12/2025,36.74
16/12/2025,36.23
15/12/2025,32.85
12/12/2025,29.93
11/12/2025,31.88
10/12/2025,30.78
09/12/2025,30.82
08/12/2025,33.03
05/12/2025,32.06
04/12/2025,33.3
03/12/2025,33.72
02/12/2025,35.89
01/12/2025,35.82
28/11/2025,35.95
26/11/2025,35.7
25/11/2025,37.57
24/11/2025,36.3
21/11/2025,35.97
20/11/2025,36.38
19/11/2025,34.12
18/11/2025,33.33
17/11/2025,32.38
14/11/2025,33.12
13/11/2025,32.63
12/11/2025,33
11/11/2025,32.02
10/11/2025,32.12
07/11/2025,33.33
06/11/2025,33.76
05/11/2025,33.69
04/11/2025,34.27
03/11/2025,34.31
31/10/2025,36.2
30/10/2025,34.74
29/10/2025,37.14
28/10/2025,37.18
27/10/2025,38.96
24/10/2025,38.7
23/10/2025,40.46
22/10/2025,38.09
21/10/2025,35.87
20/10/2025,36.77
17/10/2025,37.24
16/10/2025,38.26
15/10/2025,36.62
14/10/2025,37.9
13/10/2025,35.92
10/10/2025,37.73
09/10/2025,32.48
08/10/2025,31.53
07/10/2025,31.82
06/10/2025,32.44
03/10/2025,36.5
02/10/2025,37.62
01/10/2025,36.39
30/09/2025,35.58
29/09/2025,35.54
26/09/2025,35.85
25/09/2025,36.85
24/09/2025,34.08
23/09/2025,32.58
22/09/2025,30.88
19/09/2025,30.53
18/09/2025,31.88
17/09/2025,31.05
16/09/2025,33.17
15/09/2025,30.98
12/09/2025,31.77
11/09/2025,33.96
10/09/2025,33.35
09/09/2025,33.44
08/09/2025,35.03
05/09/2025,33.33
04/09/2025,35.03
03/09/2025,35.22
02/09/2025,34.28
29/08/2025,32.63
28/08/2025,33.98
27/08/2025,31.94
26/08/2025,33.73
25/08/2025,31.24
22/08/2025,30.35
21/08/2025,31.54
20/08/2025,32.51
19/08/2025,33.04
18/08/2025,32.15
15/08/2025,37.22
14/08/2025,35.96
13/08/2025,33.82
12/08/2025,30.31
11/08/2025,31.4
08/08/2025,34.06
07/08/2025,35.01
06/08/2025,36.67
05/08/2025,35.3
04/08/2025,38.79
01/08/2025,39.37
31/07/2025,36.78
30/07/2025,37.75
29/07/2025,38.04
28/07/2025,35.37
25/07/2025,32.88
24/07/2025,32.37
23/07/2025,32.39
22/07/2025,32.26
21/07/2025,31.38
18/07/2025,32.17
17/07/2025,32.84
16/07/2025,33.16
15/07/2025,34.38
14/07/2025,33.53
11/07/2025,37.06
10/07/2025,32.8
09/07/2025,34.17
08/07/2025,35.71
07/07/2025,41.23
03/07/2025,37.75
02/07/2025,40.24
01/07/2025,38
30/06/2025,38.89
27/06/2025,41.23
26/06/2025,41.86
25/06/2025,42.75
24/06/2025,48.8
23/06/2025,53.65
20/06/2025,64.67
18/06/2025,66.86
17/06/2025,71.56
16/06/2025,56.6
13/06/2025,57.23
12/06/2025,45.37
11/06/2025,43.24
10/06/2025,35.05
09/06/2025,34.42
06/06/2025,35.72
05/06/2025,34.89
04/06/2025,37.7
03/06/2025,37.75
02/06/2025,38.7
30/05/2025,40.71
29/05/2025,40.26
28/05/2025,40.42
27/05/2025,41.94
23/05/2025,43.13
22/05/2025,41.44
21/05/2025,39.12
20/05/2025,34.62
19/05/2025,38
16/05/2025,37.88
15/05/2025,37.4
14/05/2025,36.72
13/05/2025,36.71
12/05/2025,37.5
